| Puzzle     | Elapsed Time (s)     | CPU Time (s)         | Peak Memory Usage (MB)    |
| 348        | 0.032294             | 0.000000             | 4.398438                  |
| 349        | 0.031560             | 0.015625             | 4.398438                  |
| 350        | 0.035487             | 0.015625             | 4.398438                  |
| 351        | 0.033200             | 0.015625             | 4.398438                  |
| 352        | 0.034770             | 0.000000             | 4.398438                  |
| 353        | 0.033692             | 0.000000             | 4.398438                  |
| 354        | 0.031363             | 0.015625             | 4.398438                  |
| 355        | 0.035030             | 0.000000             | 4.398438                  |
| 356        | 0.035419             | 0.015625             | 4.398438                  |
| 357        | 0.033296             | 0.000000             | 4.398438                  |
| 358        | 0.034043             | 0.015625             | 4.398438                  |
| 359        | 0.033992             | 0.000000             | 4.398438                  |
| 360        | 0.032858             | 0.000000             | 4.398438                  |
| 361        | 0.032123             | 0.015625             | 4.398438                  |
| 362        | 0.032918             | 0.000000             | 4.398438                  |
| 363        | 0.034946             | 0.000000             | 4.398438                  |
| 364        | 0.030877             | 0.000000             | 4.398438                  |
| 365        | 0.033149             | 0.015625             | 4.398438                  |
| 366        | 0.033857             | 0.000000             | 4.398438                  |
| 367        | 0.032801             | 0.000000             | 4.398438                  |
| 368        | 0.032698             | 0.000000             | 4.398438                  |
| 369        | 0.032969             | 0.000000             | 4.398438                  |
| 370        | 0.034117             | 0.015625             | 4.398438                  |
| 371        | 0.034448             | 0.015625             | 4.398438                  |
| 372        | 0.034008             | 0.000000             | 4.398438                  |
| 373        | 0.032810             | 0.000000             | 4.398438                  |
| 374        | 0.033430             | 0.000000             | 4.398438                  |
| 375        | 0.036032             | 0.015625             | 4.398438                  |
| 376        | 0.032628             | 0.031250             | 4.398438                  |
| 377        | 0.033567             | 0.031250             | 4.398438                  |
| 378        | 0.035027             | 0.015625             | 4.398438                  |
| 379        | 0.032230             | 0.015625             | 4.398438                  |
| 380        | 0.031915             | 0.000000             | 4.398438                  |
| 381        | 0.032977             | 0.000000             | 4.398438                  |
| 382        | 0.075564             | 0.000000             | 4.398438                  |
| 383        | 0.033666             | 0.015625             | 4.398438                  |
| 384        | 0.033339             | 0.015625             | 4.398438                  |
| 385        | 0.031460             | 0.000000             | 4.398438                  |
| 386        | 0.033225             | 0.000000             | 4.398438                  |
| 387        | 0.031887             | 0.000000             | 4.398438                  |
| 388        | 0.032669             | 0.000000             | 4.398438                  |
| 389        | 0.033050             | 0.000000             | 4.398438                  |
| 390        | 0.035437             | 0.015625             | 4.398438                  |
| 391        | 0.032255             | 0.015625             | 4.398438                  |
| 392        | 0.036303             | 0.000000             | 4.398438                  |
| 393        | 0.032136             | 0.000000             | 4.398438                  |
| 394        | 0.031341             | 0.000000             | 4.398438                  |
| 395        | 0.034320             | 0.015625             | 4.398438                  |
| 396        | 0.032909             | 0.000000             | 4.398438                  |
| 397        | 0.036594             | 0.000000             | 4.398438                  |
| 398        | 0.035569             | 0.000000             | 4.398438                  |
| 399        | 0.033498             | 0.015625             | 4.398438                  |
| 400        | 0.036997             | 0.000000             | 4.398438                  |
| 401        | 0.034849             | 0.000000             | 4.398438                  |
| 402        | 0.033963             | 0.015625             | 4.398438                  |
| 403        | 0.033841             | 0.000000             | 4.398438                  |
| 404        | 0.033298             | 0.015625             | 4.398438                  |
| 405        | 0.035480             | 0.015625             | 4.398438                  |
| 406        | 0.034102             | 0.000000             | 4.398438                  |
| 407        | 0.033138             | 0.000000             | 4.398438                  |
| 408        | 0.035910             | 0.000000             | 4.398438                  |
| 409        | 0.035058             | 0.000000             | 4.398438                  |
| 410        | 0.032774             | 0.000000             | 4.398438                  |
| 411        | 0.033460             | 0.000000             | 4.398438                  |
| 412        | 0.035853             | 0.000000             | 4.398438                  |
| 413        | 0.031405             | 0.000000             | 4.398438                  |
| 414        | 0.032429             | 0.000000             | 4.398438                  |
| 415        | 0.034519             | 0.000000             | 4.398438                  |
| 416        | 0.034713             | 0.000000             | 4.398438                  |
| 417        | 0.034256             | 0.000000             | 4.398438                  |
| 418        | 0.032781             | 0.000000             | 4.398438                  |
| 419        | 0.034399             | 0.000000             | 4.398438                  |
| 420        | 0.038762             | 0.015625             | 4.398438                  |
| 421        | 0.032465             | 0.000000             | 4.398438                  |
| 422        | 0.032430             | 0.000000             | 4.398438                  |
| 423        | 0.035228             | 0.015625             | 4.398438                  |
| 424        | 0.032929             | 0.000000             | 4.398438                  |
| 425        | 0.032808             | 0.015625             | 4.398438                  |
| 426        | 0.033971             | 0.015625             | 4.398438                  |
| 427        | 0.032630             | 0.000000             | 4.398438                  |
| 428        | 0.032468             | 0.000000             | 4.398438                  |
| 429        | 0.035022             | 0.000000             | 4.398438                  |
| 430        | 0.033282             | 0.000000             | 4.398438                  |
| 431        | 0.032692             | 0.000000             | 4.398438                  |
